model,params,samples,mean_ms,std_ms,p50_ms,p95_ms,p99_ms
Persistence,0,426,0.0037287746964923233,0.0003900262402264451,0.003583001671358943,0.0043647378333844244,0.0045000051613897085
MLP,1921,426,0.018328101226093657,0.013760804152224897,0.01654151128605008,0.018896251276601106,0.06379176920745522
GRU,4833,426,0.09569440579737051,0.02603663365203687,0.09158399188891053,0.09775999205885455,0.2601355008664541
STGNN,8673,426,0.2996559081158596,0.062316155697746504,0.28472900157794356,0.3742392364074476,0.678281496220734
