mesh,seed,model,test_rmse,test_mae
8x8,n/a,Persistence,0.011210555210709572,0.007984280586242676
8x8,0,MLP,0.00930158980190754,0.007168022450059652
8x8,0,GRU,0.009434409439563751,0.007225759327411652
8x8,0,STGNN,0.011339083313941956,0.009141724556684494
8x8,1,MLP,0.01001663226634264,0.007753131911158562
8x8,1,GRU,0.009093714877963066,0.006760606542229652
8x8,1,STGNN,0.009628036059439182,0.007364767137914896
8x8,2,MLP,0.010721133090555668,0.00829399935901165
8x8,2,GRU,0.009443935006856918,0.007287648972123861
8x8,2,STGNN,0.010084356181323528,0.007914669811725616
8x8,42,MLP,0.011601030826568604,0.009246405214071274
8x8,42,GRU,0.009514320641756058,0.0072983927093446255
8x8,42,STGNN,0.01048100832849741,0.00839275773614645
8x8,123,MLP,0.010016420856118202,0.00774562219157815
8x8,123,GRU,0.008824759162962437,0.006625761277973652
8x8,123,STGNN,0.010764735750854015,0.008192620240151882
