mesh,seed,test_rmse,test_mae
4x4,0,0.015147407539188862,0.012111623771488667
4x4,1,0.015144536271691322,0.012110396288335323
4x4,2,0.014196236617863178,0.011639473028481007
4x4,42,0.015149482525885105,0.012112511321902275
4x4,123,0.014267333783209324,0.011681312695145607
8x8,0,0.010863011702895164,0.00830366276204586
8x8,1,0.008984558284282684,0.006563279777765274
8x8,2,0.009347867220640182,0.006850821897387505
8x8,42,0.008720196783542633,0.006433042697608471
8x8,123,0.009757859632372856,0.007344850338995457
