sample_idx,router_id,x,y,injected,ejected,received_total,sent_total,stored_total,buffer_occupancy_norm
0,0,0,0,46,42,85,83,2,0.0125
0,1,1,0,29,38,88,82,5,0.03125
0,2,2,0,13,12,38,31,7,0.04375
0,3,3,0,17,8,25,21,4,0.025
0,4,0,1,46,23,85,82,1,0.00625
0,5,1,1,52,47,135,130,4,0.025
0,6,2,1,30,26,89,84,5,0.03125
0,7,3,1,24,7,40,35,4,0.025
0,8,0,2,20,7,34,30,4,0.025
0,9,1,2,33,23,88,83,4,0.025
0,10,2,2,49,45,127,126,1,0.00625
0,11,3,2,43,24,83,80,3,0.01875
0,12,0,3,19,5,25,21,4,0.025
0,13,1,3,13,16,44,36,7,0.04375
0,14,2,3,31,35,87,80,6,0.0375
0,15,3,3,51,47,93,90,3,0.01875
1,0,0,0,50,50,95,94,3,0.01875
1,1,1,0,31,45,88,89,4,0.025
1,2,2,0,9,16,31,30,8,0.05
1,3,3,0,6,6,12,12,4,0.025
1,4,0,1,45,31,89,90,2,0.0125
1,5,1,1,50,50,139,138,3,0.01875
1,6,2,1,26,29,90,88,7,0.04375
1,7,3,1,18,13,36,37,4,0.025
1,8,0,2,16,7,30,30,4,0.025
1,9,1,2,30,27,89,89,5,0.03125
1,10,2,2,46,46,137,134,3,0.01875
1,11,3,2,45,26,89,88,3,0.01875
1,12,0,3,7,9,15,15,4,0.025
1,13,1,3,11,17,36,36,8,0.05
1,14,2,3,25,45,89,89,6,0.0375
1,15,3,3,50,49,95,94,3,0.01875
2,0,0,0,50,50,95,94,3,0.01875
2,1,1,0,31,45,90,89,6,0.0375
2,2,2,0,6,15,30,31,7,0.04375
2,3,3,0,9,11,19,20,3,0.01875
2,4,0,1,45,29,88,88,2,0.0125
2,5,1,1,49,50,138,139,3,0.01875
2,6,2,1,25,29,87,88,5,0.03125
2,7,3,1,19,8,38,39,2,0.0125
2,8,0,2,16,9,32,31,4,0.025
2,9,1,2,29,26,90,88,7,0.04375
2,10,2,2,51,51,140,139,4,0.025
2,11,3,2,44,24,89,89,2,0.0125
2,12,0,3,8,6,14,14,4,0.025
2,13,1,3,12,18,38,38,8,0.05
2,14,2,3,25,44,90,89,7,0.04375
2,15,3,3,47,49,90,93,0,0.0
3,0,0,0,50,50,95,95,3,0.01875
3,1,1,0,29,44,88,88,5,0.03125
3,2,2,0,8,14,31,30,8,0.05
3,3,3,0,7,10,18,18,3,0.01875
3,4,0,1,44,30,89,88,3,0.01875
3,5,1,1,43,44,134,134,3,0.01875
3,6,2,1,24,29,88,89,5,0.03125
3,7,3,1,19,7,37,37,2,0.0125
3,8,0,2,15,5,30,30,3,0.01875
3,9,1,2,28,24,88,88,5,0.03125
3,10,2,2,40,40,128,129,2,0.0125
3,11,3,2,45,27,89,90,1,0.00625
3,12,0,3,11,9,20,20,4,0.025
3,13,1,3,7,19,38,38,7,0.04375
3,14,2,3,26,45,88,89,6,0.0375
3,15,3,3,37,35,82,81,2,0.0125
4,0,0,0,50,50,95,95,3,0.01875
4,1,1,0,29,44,89,89,6,0.0375
4,2,2,0,7,14,28,28,7,0.04375
4,3,3,0,7,6,13,12,3,0.01875
4,4,0,1,44,30,89,88,3,0.01875
4,5,1,1,47,45,134,136,2,0.0125
4,6,2,1,27,30,91,88,7,0.04375
4,7,3,1,20,12,38,37,4,0.025
4,8,0,2,14,10,28,30,2,0.0125
4,9,1,2,29,25,89,90,6,0.0375
4,10,2,2,46,46,136,136,3,0.01875
4,11,3,2,45,26,89,90,2,0.0125
4,12,0,3,8,5,13,13,4,0.025
4,13,1,3,9,21,36,38,6,0.0375
4,14,2,3,26,45,87,89,4,0.025
4,15,3,3,49,50,92,93,0,0.0
5,0,0,0,50,50,94,95,2,0.0125
5,1,1,0,30,44,90,88,7,0.04375
5,2,2,0,7,14,29,28,8,0.05
5,3,3,0,8,10,19,18,4,0.025
5,4,0,1,44,29,89,89,4,0.025
5,5,1,1,48,49,136,137,2,0.0125
5,6,2,1,26,31,88,89,7,0.04375
5,7,3,1,18,9,37,37,4,0.025
5,8,0,2,14,5,29,29,2,0.0125
5,9,1,2,31,26,89,88,6,0.0375
5,10,2,2,43,47,133,135,1,0.00625
5,11,3,2,45,25,90,88,3,0.01875
5,12,0,3,8,11,19,20,3,0.01875
5,13,1,3,12,18,38,37,7,0.04375
5,14,2,3,25,45,90,89,6,0.0375
5,15,3,3,51,50,96,95,2,0.0125
6,0,0,0,50,50,114,113,3,0.01875
6,1,1,0,34,46,111,112,6,0.0375
6,2,2,0,15,26,55,57,7,0.04375
6,3,3,0,15,19,33,34,3,0.01875
6,4,0,1,46,35,109,111,1,0.00625
6,5,1,1,51,51,150,149,3,0.01875
6,6,2,1,32,30,109,110,5,0.03125
6,7,3,1,23,16,58,58,4,0.025
6,8,0,2,25,17,55,54,4,0.025
6,9,1,2,31,31,109,111,5,0.03125
6,10,2,2,44,41,144,143,2,0.0125
6,11,3,2,45,31,109,110,2,0.0125
6,12,0,3,21,13,34,33,4,0.025
6,13,1,3,13,23,58,56,9,0.05625
6,14,2,3,32,45,113,111,7,0.04375
6,15,3,3,50,50,115,113,2,0.0125
7,0,0,0,50,49,94,95,2,0.0125
7,1,1,0,30,44,88,89,6,0.0375
7,2,2,0,6,18,34,33,8,0.05
7,3,3,0,10,7,17,17,4,0.025
7,4,0,1,44,29,90,89,2,0.0125
7,5,1,1,50,50,140,137,4,0.025
7,6,2,1,29,26,88,89,5,0.03125
7,7,3,1,15,10,32,32,4,0.025
7,8,0,2,18,4,34,34,4,0.025
7,9,1,2,26,31,90,88,7,0.04375
7,10,2,2,49,47,137,136,2,0.0125
7,11,3,2,45,27,89,89,2,0.0125
7,12,0,3,6,11,18,17,4,0.025
7,13,1,3,11,14,31,32,6,0.0375
7,14,2,3,26,45,88,89,7,0.04375
7,15,3,3,50,50,95,95,3,0.01875
8,0,0,0,50,51,96,94,4,0.025
8,1,1,0,29,45,89,88,7,0.04375
8,2,2,0,10,18,32,33,7,0.04375
8,3,3,0,5,11,16,16,4,0.025
8,4,0,1,45,29,89,89,2,0.0125
8,5,1,1,50,50,139,140,3,0.01875
8,6,2,1,30,27,89,88,6,0.0375
8,7,3,1,14,7,32,32,4,0.025
8,8,0,2,18,11,32,33,3,0.01875
8,9,1,2,26,30,88,88,6,0.0375
8,10,2,2,50,50,140,139,4,0.025
8,11,3,2,45,26,89,89,2,0.0125
8,12,0,3,9,4,13,14,4,0.025
8,13,1,3,10,14,33,33,6,0.0375
8,14,2,3,25,45,88,88,6,0.0375
8,15,3,3,47,48,91,93,1,0.00625
9,0,0,0,50,49,93,95,1,0.00625
9,1,1,0,29,45,88,88,6,0.0375
9,2,2,0,5,19,34,34,7,0.04375
9,3,3,0,10,10,21,21,4,0.025
9,4,0,1,45,30,89,89,3,0.01875
9,5,1,1,50,50,140,139,4,0.025
9,6,2,1,30,25,90,88,6,0.0375
9,7,3,1,14,10,34,34,4,0.025
9,8,0,2,19,4,33,33,2,0.0125
9,9,1,2,25,31,88,89,6,0.0375
9,10,2,2,47,47,135,136,3,0.01875
9,11,3,2,45,24,90,89,2,0.0125
9,12,0,3,11,11,21,21,4,0.025
9,13,1,3,8,14,33,35,6,0.0375
9,14,2,3,25,45,89,89,6,0.0375
9,15,3,3,51,51,95,94,2,0.0125
10,0,0,0,50,51,95,95,3,0.01875
10,1,1,0,30,44,90,89,8,0.05
10,2,2,0,10,19,33,33,7,0.04375
10,3,3,0,4,6,11,11,4,0.025
10,4,0,1,44,29,89,88,3,0.01875
10,5,1,1,50,50,139,140,3,0.01875
10,6,2,1,31,25,90,90,7,0.04375
10,7,3,1,14,12,33,33,3,0.01875
10,8,0,2,20,11,34,35,2,0.0125
10,9,1,2,25,30,89,88,6,0.0375
10,10,2,2,49,49,139,138,3,0.01875
10,11,3,2,44,25,90,90,3,0.01875
10,12,0,3,9,4,13,13,4,0.025
10,13,1,3,10,15,33,32,7,0.04375
10,14,2,3,26,44,89,89,6,0.0375
10,15,3,3,49,49,94,94,2,0.0125
11,0,0,0,50,49,93,94,1,0.00625
