sample_idx,router_id,x,y,injected,ejected,received_total,sent_total,stored_total,buffer_occupancy_norm
0,0,0,0,6,3,23,23,0,0.0
0,1,1,0,11,6,38,37,1,0.00625
0,2,2,0,7,9,40,40,0,0.0
0,3,3,0,15,5,26,26,0,0.0
0,4,0,1,10,12,34,31,2,0.0125
0,5,1,1,6,5,35,35,0,0.0
0,6,2,1,12,8,43,43,0,0.0
0,7,3,1,7,6,31,31,0,0.0
0,8,0,2,7,7,24,23,1,0.00625
0,9,1,2,8,8,33,32,0,0.0
0,10,2,2,14,6,42,41,1,0.00625
0,11,3,2,4,12,35,35,0,0.0
0,12,0,3,8,2,18,17,0,0.0
0,13,1,3,16,6,37,35,1,0.00625
0,14,2,3,7,6,34,34,0,0.0
0,15,3,3,8,9,25,24,0,0.0
1,0,0,0,7,9,28,28,0,0.0
1,1,1,0,11,8,37,38,0,0.0
1,2,2,0,12,17,53,53,0,0.0
1,3,3,0,11,6,30,30,0,0.0
1,4,0,1,8,13,36,37,0,0.0
1,5,1,1,6,7,36,33,2,0.0125
1,6,2,1,9,14,55,54,1,0.00625
1,7,3,1,9,12,36,34,0,0.0
1,8,0,2,3,7,22,23,0,0.0
1,9,1,2,10,8,35,35,1,0.00625
1,10,2,2,10,5,49,50,0,0.0
1,11,3,2,9,8,33,33,0,0.0
1,12,0,3,6,6,18,19,0,0.0
1,13,1,3,12,3,29,30,0,0.0
1,14,2,3,5,10,37,35,1,0.00625
1,15,3,3,8,15,27,27,0,0.0
2,0,0,0,7,7,18,18,0,0.0
2,1,1,0,7,11,32,30,0,0.0
2,2,2,0,7,6,27,27,0,0.0
2,3,3,0,8,10,25,24,1,0.00625
2,4,0,1,11,5,36,37,0,0.0
2,5,1,1,12,6,52,54,1,0.00625
2,6,2,1,7,6,42,43,0,0.0
2,7,3,1,12,8,36,37,0,0.0
2,8,0,2,3,11,35,34,0,0.0
2,9,1,2,7,10,46,46,0,0.0
2,10,2,2,9,11,44,43,1,0.00625
2,11,3,2,9,8,35,34,1,0.00625
2,12,0,3,13,12,32,32,0,0.0
2,13,1,3,7,4,28,29,0,0.0
2,14,2,3,10,6,29,29,0,0.0
2,15,3,3,5,7,21,22,0,0.0
3,0,0,0,12,6,27,27,0,0.0
3,1,1,0,16,11,45,47,0,0.0
3,2,2,0,9,15,46,46,0,0.0
3,3,3,0,5,12,26,27,0,0.0
3,4,0,1,13,9,34,34,1,0.00625
3,5,1,1,12,13,56,55,1,0.00625
3,6,2,1,8,16,59,55,2,0.0125
3,7,3,1,8,9,37,38,0,0.0
3,8,0,2,6,7,30,30,1,0.00625
3,9,1,2,10,14,48,47,1,0.00625
3,10,2,2,9,10,56,55,1,0.00625
3,11,3,2,12,6,39,38,1,0.00625
3,12,0,3,9,12,27,27,0,0.0
3,13,1,3,13,4,33,33,0,0.0
3,14,2,3,13,11,43,44,1,0.00625
3,15,3,3,6,8,28,28,0,0.0
4,0,0,0,7,10,33,33,0,0.0
4,1,1,0,10,5,38,37,1,0.00625
4,2,2,0,12,10,47,47,0,0.0
4,3,3,0,17,13,42,41,1,0.00625
4,4,0,1,10,13,43,43,1,0.00625
4,5,1,1,6,8,38,39,0,0.0
4,6,2,1,13,10,46,50,0,0.0
4,7,3,1,7,10,43,43,0,0.0
4,8,0,2,10,11,42,42,0,0.0
4,9,1,2,10,9,46,48,0,0.0
4,10,2,2,12,10,51,52,0,0.0
4,11,3,2,10,14,49,51,0,0.0
4,12,0,3,6,10,28,28,0,0.0
4,13,1,3,10,11,40,39,1,0.00625
4,14,2,3,13,11,44,44,0,0.0
4,15,3,3,11,15,37,37,0,0.0
5,0,0,0,9,9,25,25,0,0.0
5,1,1,0,13,11,40,40,0,0.0
5,2,2,0,7,8,36,34,1,0.00625
5,3,3,0,7,5,19,19,1,0.00625
5,4,0,1,6,9,31,32,0,0.0
5,5,1,1,8,8,42,42,0,0.0
5,6,2,1,7,13,44,44,0,0.0
5,7,3,1,8,7,27,27,0,0.0
5,8,0,2,14,7,42,43,0,0.0
5,9,1,2,8,7,56,55,1,0.00625
