sample_idx,router_id,x,y,injected,ejected,received_total,sent_total,stored_total,buffer_occupancy_norm
0,0,0,0,38,31,107,104,1,0.00625
0,1,1,0,36,27,137,133,3,0.01875
0,2,2,0,33,34,141,139,1,0.00625
0,3,3,0,44,31,108,106,2,0.0125
0,4,0,1,45,33,146,140,3,0.01875
0,5,1,1,38,34,177,171,5,0.03125
0,6,2,1,32,30,171,168,2,0.0125
0,7,3,1,42,31,137,132,4,0.025
0,8,0,2,44,30,137,130,5,0.03125
0,9,1,2,45,37,182,177,1,0.00625
0,10,2,2,42,30,183,177,4,0.025
0,11,3,2,32,27,133,129,3,0.01875
0,12,0,3,35,23,94,92,2,0.0125
0,13,1,3,45,36,154,147,5,0.03125
0,14,2,3,40,38,158,155,2,0.0125
0,15,3,3,41,34,114,111,2,0.0125
1,0,0,0,39,41,123,123,2,0.0125
1,1,1,0,32,41,157,158,2,0.0125
1,2,2,0,40,43,158,155,1,0.00625
1,3,3,0,40,38,115,113,1,0.00625
1,4,0,1,29,42,152,155,1,0.00625
1,5,1,1,40,39,193,195,2,0.0125
1,6,2,1,45,35,202,199,5,0.03125
1,7,3,1,37,34,154,155,2,0.0125
1,8,0,2,44,41,155,157,4,0.025
1,9,1,2,36,35,184,187,1,0.00625
1,10,2,2,41,41,191,191,4,0.025
1,11,3,2,29,42,152,150,4,0.025
1,12,0,3,45,29,118,115,4,0.025
1,13,1,3,39,44,169,172,2,0.0125
1,14,2,3,40,40,164,164,2,0.0125
1,15,3,3,45,42,126,123,3,0.01875
2,0,0,0,32,35,98,97,2,0.0125
2,1,1,0,37,40,135,138,0,0.0
2,2,2,0,31,38,138,141,1,0.00625
2,3,3,0,34,44,111,111,2,0.0125
2,4,0,1,41,31,149,148,3,0.01875
2,5,1,1,39,29,189,185,5,0.03125
2,6,2,1,36,37,192,194,2,0.0125
2,7,3,1,42,35,157,156,3,0.01875
2,8,0,2,45,41,158,158,3,0.01875
2,9,1,2,36,35,189,189,1,0.00625
2,10,2,2,36,38,186,186,2,0.0125
2,11,3,2,38,38,155,157,2,0.0125
2,12,0,3,32,37,106,107,2,0.0125
2,13,1,3,43,45,155,154,3,0.01875
2,14,2,3,45,32,155,152,4,0.025
2,15,3,3,35,36,115,117,3,0.01875
3,0,0,0,37,41,122,123,2,0.0125
3,1,1,0,44,39,166,160,4,0.025
3,2,2,0,44,44,176,173,4,0.025
3,3,3,0,44,43,128,128,3,0.01875
3,4,0,1,40,44,166,166,2,0.0125
3,5,1,1,41,39,198,204,0,0.0
3,6,2,1,35,41,206,205,2,0.0125
3,7,3,1,44,41,163,163,4,0.025
3,8,0,2,38,41,160,162,1,0.00625
3,9,1,2,35,40,200,198,1,0.00625
3,10,2,2,42,44,205,205,4,0.025
3,11,3,2,41,36,162,161,4,0.025
3,12,0,3,44,40,123,126,1,0.00625
3,13,1,3,44,42,169,169,4,0.025
3,14,2,3,42,36,162,162,4,0.025
3,15,3,3,39,42,121,123,1,0.00625
4,0,0,0,42,36,121,117,5,0.03125
4,1,1,0,43,39,166,167,1,0.00625
4,2,2,0,42,41,163,163,3,0.01875
4,3,3,0,39,41,123,124,2,0.0125
4,4,0,1,39,43,163,164,1,0.00625
4,5,1,1,38,39,204,201,4,0.025
4,6,2,1,34,41,196,197,1,0.00625
4,7,3,1,44,41,162,161,4,0.025
4,8,0,2,41,44,166,166,2,0.0125
4,9,1,2,39,43,207,206,3,0.01875
4,10,2,2,40,36,196,197,3,0.01875
4,11,3,2,43,36,159,161,3,0.01875
4,12,0,3,41,44,121,118,3,0.01875
4,13,1,3,37,40,156,157,2,0.0125
4,14,2,3,37,37,150,151,3,0.01875
