sample_idx,router_id,x,y,injected,ejected,received_total,sent_total,stored_total,buffer_occupancy_norm
0,0,0,0,51,46,94,90,3,0.01875
0,1,1,0,31,39,90,84,6,0.0375
0,2,2,0,13,12,39,31,7,0.04375
0,3,3,0,18,9,27,23,4,0.025
0,4,0,1,47,25,86,84,2,0.0125
0,5,1,1,51,46,134,131,2,0.0125
0,6,2,1,30,26,89,84,5,0.03125
0,7,3,1,24,7,40,36,4,0.025
0,8,0,2,20,9,35,32,3,0.01875
0,9,1,2,33,23,88,83,4,0.025
0,10,2,2,51,47,134,130,3,0.01875
0,11,3,2,48,24,86,84,2,0.0125
0,12,0,3,19,5,24,20,4,0.025
0,13,1,3,13,15,44,35,8,0.05
0,14,2,3,31,40,89,84,5,0.03125
0,15,3,3,52,48,95,90,4,0.025
1,0,0,0,49,50,94,94,2,0.0125
1,1,1,0,26,45,89,88,7,0.04375
1,2,2,0,13,16,34,35,6,0.0375
1,3,3,0,5,4,9,9,4,0.025
1,4,0,1,45,26,89,88,3,0.01875
1,5,1,1,51,51,141,138,5,0.03125
1,6,2,1,26,29,89,88,6,0.0375
1,7,3,1,18,13,36,36,3,0.01875
1,8,0,2,16,9,34,33,4,0.025
1,9,1,2,30,27,89,89,5,0.03125
1,10,2,2,50,49,140,138,4,0.025
1,11,3,2,44,26,90,88,4,0.025
1,12,0,3,5,9,13,14,3,0.01875
1,13,1,3,13,19,35,37,7,0.04375
1,14,2,3,25,44,90,88,7,0.04375
1,15,3,3,51,50,94,95,2,0.0125
2,0,0,0,51,50,94,96,2,0.0125
2,1,1,0,25,44,89,88,7,0.04375
2,2,2,0,8,15,34,35,5,0.03125
2,3,3,0,11,12,24,23,4,0.025
2,4,0,1,44,26,90,88,4,0.025
2,5,1,1,49,49,139,139,3,0.01875
2,6,2,1,25,29,90,88,7,0.04375
2,7,3,1,20,6,38,38,4,0.025
2,8,0,2,16,7,34,34,4,0.025
2,9,1,2,29,24,90,88,7,0.04375
2,10,2,2,50,51,139,140,3,0.01875
2,11,3,2,44,26,90,88,5,0.03125
2,12,0,3,11,11,23,22,4,0.025
2,13,1,3,9,18,39,39,6,0.0375
2,14,2,3,25,44,88,88,6,0.0375
2,15,3,3,49,50,95,94,3,0.01875
3,0,0,0,49,50,94,93,2,0.0125
3,1,1,0,26,44,89,89,6,0.0375
3,2,2,0,9,14,34,34,6,0.0375
3,3,3,0,9,7,15,16,4,0.025
3,4,0,1,44,25,90,89,4,0.025
3,5,1,1,51,51,139,140,3,0.01875
3,6,2,1,26,29,88,89,7,0.04375
3,7,3,1,18,13,37,38,3,0.01875
3,8,0,2,15,12,34,34,3,0.01875
3,9,1,2,28,27,88,88,5,0.03125
3,10,2,2,50,49,139,139,3,0.01875
3,11,3,2,44,24,88,89,3,0.01875
3,12,0,3,9,6,17,17,4,0.025
3,13,1,3,10,19,37,38,5,0.03125
3,14,2,3,24,44,89,89,6,0.0375
3,15,3,3,51,50,93,96,1,0.00625
4,0,0,0,51,50,94,95,2,0.0125
4,1,1,0,26,44,89,90,6,0.0375
4,2,2,0,11,14,33,32,7,0.04375
4,3,3,0,8,9,17,17,4,0.025
4,4,0,1,44,25,89,90,3,0.01875
4,5,1,1,49,49,137,140,1,0.00625
4,6,2,1,26,30,87,88,5,0.03125
4,7,3,1,17,11,37,37,2,0.0125
4,8,0,2,14,12,33,34,2,0.0125
4,9,1,2,29,26,89,90,6,0.0375
4,10,2,2,50,51,138,140,2,0.0125
4,11,3,2,44,25,89,90,4,0.025
4,12,0,3,7,8,14,14,4,0.025
4,13,1,3,12,18,38,36,8,0.05
4,14,2,3,27,44,91,89,7,0.04375
4,15,3,3,49,50,95,93,3,0.01875
