sample_idx,router_id,x,y,injected,ejected,received_total,sent_total,stored_total,buffer_occupancy_norm
0,0,0,0,30,30,79,74,4,0.025
0,1,1,0,22,29,104,95,9,0.05625
0,2,2,0,44,32,116,109,7,0.04375
0,3,3,0,45,30,93,87,6,0.0375
0,4,0,1,40,32,121,115,5,0.03125
0,5,1,1,43,28,155,144,8,0.05
0,6,2,1,41,30,148,142,3,0.01875
0,7,3,1,46,24,125,117,6,0.0375
0,8,0,2,35,26,116,108,6,0.0375
0,9,1,2,30,24,134,125,7,0.04375
0,10,2,2,41,33,144,137,6,0.0375
0,11,3,2,49,41,137,131,4,0.025
0,12,0,3,42,29,92,88,3,0.01875
0,13,1,3,43,24,123,116,6,0.0375
0,14,2,3,38,24,117,110,6,0.0375
0,15,3,3,45,31,97,90,6,0.0375
1,0,0,0,12,24,47,47,4,0.025
1,1,1,0,2,39,67,67,9,0.05625
1,2,2,0,21,23,67,68,6,0.0375
1,3,3,0,32,35,72,71,7,0.04375
1,4,0,1,25,31,98,100,3,0.01875
1,5,1,1,32,27,130,133,8,0.05
1,6,2,1,41,30,135,134,6,0.0375
1,7,3,1,42,22,112,110,7,0.04375
1,8,0,2,25,36,106,107,5,0.03125
1,9,1,2,30,27,134,136,6,0.0375
1,10,2,2,37,26,134,130,9,0.05625
1,11,3,2,34,50,129,126,7,0.04375
1,12,0,3,28,30,69,70,2,0.0125
1,13,1,3,23,27,106,105,8,0.05
1,14,2,3,42,23,119,119,7,0.04375
1,15,3,3,42,38,95,96,4,0.025
2,0,0,0,14,31,54,55,4,0.025
2,1,1,0,7,33,75,74,9,0.05625
2,2,2,0,11,26,79,77,8,0.05
2,3,3,0,43,32,87,89,3,0.01875
2,4,0,1,23,16,94,92,6,0.0375
2,5,1,1,27,26,138,138,7,0.04375
2,6,2,1,42,34,145,148,3,0.01875
2,7,3,1,39,31,123,123,8,0.05
2,8,0,2,27,38,105,108,4,0.025
2,9,1,2,37,23,143,143,5,0.03125
2,10,2,2,44,22,145,152,3,0.01875
2,11,3,2,46,50,134,136,6,0.0375
2,12,0,3,30,25,66,65,4,0.025
2,13,1,3,18,28,90,90,8,0.05
2,14,2,3,30,26,94,93,7,0.04375
2,15,3,3,34,26,76,75,6,0.0375
3,0,0,0,5,25,44,40,7,0.04375
3,1,1,0,6,24,57,59,8,0.05
3,2,2,0,29,33,90,91,7,0.04375
3,3,3,0,37,26,71,69,7,0.04375
3,4,0,1,23,21,91,92,4,0.025
3,5,1,1,26,30,130,127,10,0.0625
3,6,2,1,40,33,143,135,10,0.0625
3,7,3,1,36,27,105,106,8,0.05
3,8,0,2,37,29,113,112,4,0.025
3,9,1,2,44,29,154,153,7,0.04375
3,10,2,2,33,33,147,144,7,0.04375
3,11,3,2,35,49,123,124,6,0.0375
3,12,0,3,18,32,62,63,2,0.0125
3,13,1,3,17,30,86,86,6,0.0375
3,14,2,3,32,21,97,99,5,0.03125
3,15,3,3,45,23,83,84,5,0.03125
4,0,0,0,13,42,63,67,4,0.025
4,1,1,0,11,20,72,70,8,0.05
4,2,2,0,23,16,82,79,9,0.05625
4,3,3,0,41,21,72,70,8,0.05
4,4,0,1,8,18,80,80,5,0.03125
4,5,1,1,17,19,96,96,9,0.05625
4,6,2,1,18,31,112,115,9,0.05625
4,7,3,1,45,23,104,103,8,0.05
4,8,0,2,24,30,107,104,7,0.04375
4,9,1,2,36,26,136,136,8,0.05
4,10,2,2,46,26,137,139,5,0.03125
4,11,3,2,28,50,114,113,6,0.0375
4,12,0,3,24,29,75,75,3,0.01875
4,13,1,3,19,26,97,97,7,0.04375
4,14,2,3,41,24,106,103,7,0.04375
4,15,3,3,38,21,76,77,4,0.025
5,0,0,0,23,27,69,69,4,0.025
5,1,1,0,30,31,102,106,6,0.0375
5,2,2,0,29,34,105,107,8,0.05
5,3,3,0,34,34,86,88,7,0.04375
5,4,0,1,32,34,107,109,3,0.01875
5,5,1,1,33,30,145,149,6,0.0375
5,6,2,1,32,29,145,144,9,0.05625
5,7,3,1,46,39,144,145,8,0.05
5,8,0,2,30,35,117,121,3,0.01875
5,9,1,2,32,37,167,167,7,0.04375
5,10,2,2,42,31,155,152,8,0.05
5,11,3,2,43,83,169,166,7,0.04375
5,12,0,3,42,33,96,93,4,0.025
5,13,1,3,39,37,132,136,3,0.01875
5,14,2,3,22,34,115,116,6,0.0375
5,15,3,3,46,23,96,97,3,0.01875
6,0,0,0,6,22,40,40,4,0.025
6,1,1,0,3,25,58,55,7,0.04375
6,2,2,0,21,30,76,76,6,0.0375
6,3,3,0,35,25,63,66,4,0.025
6,4,0,1,11,21,68,66,4,0.025
6,5,1,1,21,37,108,108,5,0.03125
6,6,2,1,21,23,110,115,3,0.01875
6,7,3,1,51,31,114,116,6,0.0375
6,8,0,2,22,23,75,75,2,0.0125
6,9,1,2,22,23,110,111,6,0.0375
6,10,2,2,39,22,133,133,6,0.0375
6,11,3,2,46,49,132,136,5,0.03125
6,12,0,3,29,24,63,64,4,0.025
6,13,1,3,29,24,101,97,7,0.04375
6,14,2,3,36,30,117,117,8,0.05
6,15,3,3,43,26,93,93,4,0.025
7,0,0,0,3,26,34,35,3,0.01875
7,1,1,0,10,26,54,56,7,0.04375
7,2,2,0,11,24,60,60,7,0.04375
7,3,3,0,24,20,56,53,7,0.04375
7,4,0,1,6,26,68,67,4,0.025
7,5,1,1,19,19,98,94,9,0.05625
7,6,2,1,26,23,120,116,7,0.04375
7,7,3,1,49,25,111,108,8,0.05
7,8,0,2,31,30,104,103,4,0.025
7,9,1,2,30,25,137,135,7,0.04375
7,10,2,2,41,25,146,144,7,0.04375
7,11,3,2,46,50,125,122,8,0.05
7,12,0,3,29,16,68,68,5,0.03125
7,13,1,3,32,25,103,106,4,0.025
7,14,2,3,31,32,114,116,5,0.03125
7,15,3,3,36,24,81,79,6,0.0375
8,0,0,0,9,28,45,44,4,0.025
8,1,1,0,5,19,47,46,8,0.05
8,2,2,0,23,26,70,71,5,0.03125
8,3,3,0,19,30,56,55,8,0.05
8,4,0,1,15,19,75,75,4,0.025
8,5,1,1,16,20,98,102,6,0.0375
8,6,2,1,42,19,128,132,5,0.03125
8,7,3,1,42,26,111,110,9,0.05625
8,8,0,2,20,38,95,94,5,0.03125
8,9,1,2,24,40,126,128,7,0.04375
8,10,2,2,35,26,132,134,6,0.0375
8,11,3,2,42,50,133,135,5,0.03125
8,12,0,3,20,19,65,64,5,0.03125
8,13,1,3,30,14,102,100,6,0.0375
8,14,2,3,37,23,107,103,8,0.05
8,15,3,3,44,28,91,90,6,0.0375
9,0,0,0,8,28,50,50,4,0.025
9,1,1,0,18,23,64,65,7,0.04375
9,2,2,0,22,21,62,59,9,0.05625
9,3,3,0,16,25,47,48,7,0.04375
9,4,0,1,16,29,88,88,4,0.025
9,5,1,1,17,22,110,112,5,0.03125
9,6,2,1,38,25,117,116,5,0.03125
9,7,3,1,32,19,93,92,10,0.0625
9,8,0,2,31,29,104,103,6,0.0375
9,9,1,2,22,27,137,134,8,0.05
9,10,2,2,38,21,127,128,5,0.03125
9,11,3,2,55,49,136,136,5,0.03125
9,12,0,3,20,29,64,68,2,0.0125
9,13,1,3,19,32,103,105,4,0.025
9,14,2,3,38,17,98,102,6,0.0375
9,15,3,3,38,33,87,89,5,0.03125
10,0,0,0,33,34,83,83,3,0.01875
10,1,1,0,41,39,135,134,8,0.05
10,2,2,0,40,38,135,138,6,0.0375
10,3,3,0,43,33,102,103,4,0.025
10,4,0,1,34,30,112,112,5,0.03125
10,5,1,1,30,36,162,157,9,0.05625
10,6,2,1,30,35,167,164,8,0.05
10,7,3,1,47,41,159,161,9,0.05625
10,8,0,2,42,29,124,126,4,0.025
10,9,1,2,38,36,164,164,9,0.05625
10,10,2,2,51,43,184,183,6,0.0375
10,11,3,2,52,78,186,184,7,0.04375
10,12,0,3,38,45,102,99,3,0.01875
10,13,1,3,35,24,129,127,6,0.0375
10,14,2,3,41,37,144,143,7,0.04375
10,15,3,3,34,42,105,105,4,0.025
11,0,0,0,10,29,55,54,5,0.03125
11,1,1,0,11,32,75,74,9,0.05625
11,2,2,0,15,25,75,74,8,0.05
11,3,3,0,34,25,66,66,6,0.0375
11,4,0,1,10,23,86,87,3,0.01875
11,5,1,1,18,35,110,112,7,0.04375
11,6,2,1,16,30,105,108,4,0.025
11,7,3,1,47,23,107,108,9,0.05625
11,8,0,2,37,26,116,111,10,0.0625
11,9,1,2,40,15,137,140,7,0.04375
11,10,2,2,44,15,131,130,8,0.05
11,11,3,2,30,50,126,127,7,0.04375
11,12,0,3,25,32,81,79,6,0.0375
11,13,1,3,32,30,114,113,7,0.04375
11,14,2,3,39,30,106,104,7,0.04375
11,15,3,3,31,21,73,71,6,0.0375
12,0,0,0,3,27,38,38,5,0.03125
12,1,1,0,2,18,46,47,8,0.05
12,2,2,0,23,23,66,67,6,0.0375
12,3,3,0,26,21,51,50,7,0.04375
12,4,0,1,17,25,81,80,5,0.03125
12,5,1,1,12,25,97,96,8,0.05
12,6,2,1,34,26,109,108,6,0.0375
12,7,3,1,28,13,75,74,9,0.05625
12,8,0,2,28,28,94,101,3,0.01875
12,9,1,2,26,32,136,131,9,0.05625
12,10,2,2,42,28,145,145,8,0.05
12,11,3,2,40,49,114,110,10,0.0625
12,12,0,3,26,29,70,74,3,0.01875
12,13,1,3,28,25,100,99,8,0.05
12,14,2,3,30,19,96,97,8,0.05
12,15,3,3,41,20,71,70,7,0.04375
13,0,0,0,8,23,40,41,4,0.025
13,1,1,0,13,20,58,58,7,0.04375
13,2,2,0,15,24,55,54,7,0.04375
13,3,3,0,15,35,51,54,4,0.025
13,4,0,1,8,21,56,58,4,0.025
13,5,1,1,15,38,109,111,5,0.03125
13,6,2,1,32,24,114,114,6,0.0375
13,7,3,1,43,19,108,110,8,0.05
13,8,0,2,42,14,84,83,1,0.00625
13,9,1,2,41,26,136,141,5,0.03125
13,10,2,2,37,20,124,124,7,0.04375
13,11,3,2,32,50,118,122,4,0.025
13,12,0,3,10,20,49,46,4,0.025
13,13,1,3,11,25,77,81,5,0.03125
13,14,2,3,31,27,96,97,4,0.025
13,15,3,3,46,19,77,82,2,0.0125
14,0,0,0,4,25,40,39,4,0.025
14,1,1,0,7,25,44,44,8,0.05
14,2,2,0,13,29,65,64,7,0.04375
14,3,3,0,30,15,53,51,5,0.03125
14,4,0,1,28,23,93,93,3,0.01875
14,5,1,1,38,21,116,115,6,0.0375
14,6,2,1,30,22,124,123,6,0.0375
14,7,3,1,34,25,88,86,10,0.0625
14,8,0,2,24,31,103,101,5,0.03125
14,9,1,2,41,22,133,132,8,0.05
14,10,2,2,42,32,146,147,8,0.05
14,11,3,2,38,50,112,109,10,0.0625
14,12,0,3,15,38,65,67,4,0.025
14,13,1,3,20,24,86,83,7,0.04375
14,14,2,3,32,26,103,102,7,0.04375
14,15,3,3,41,25,83,78,8,0.05
15,0,0,0,1,13,19,20,4,0.025
15,1,1,0,2,23,38,37,8,0.05
15,2,2,0,8,20,40,40,8,0.05
15,3,3,0,16,25,44,43,7,0.04375
15,4,0,1,16,24,67,65,6,0.0375
15,5,1,1,12,26,91,89,9,0.05625
15,6,2,1,16,17,85,86,6,0.0375
15,7,3,1,49,22,98,100,7,0.04375
15,8,0,2,37,16,89,90,4,0.025
15,9,1,2,25,16,117,116,8,0.05
15,10,2,2,38,15,121,121,8,0.05
15,11,3,2,41,49,121,126,3,0.01875
15,12,0,3,16,27,54,55,3,0.01875
15,13,1,3,17,24,76,74,8,0.05
15,14,2,3,23,19,79,78,9,0.05625
15,15,3,3,41,22,75,77,6,0.0375
16,0,0,0,28,34,74,72,5,0.03125
16,1,1,0,25,32,104,104,8,0.05
16,2,2,0,36,37,118,121,5,0.03125
16,3,3,0,36,45,103,102,8,0.05
16,4,0,1,38,19,106,108,4,0.025
16,5,1,1,33,40,152,152,9,0.05625
16,6,2,1,47,35,171,173,3,0.01875
16,7,3,1,42,41,160,160,7,0.04375
16,8,0,2,50,43,138,140,3,0.01875
16,9,1,2,41,30,169,171,6,0.0375
16,10,2,2,48,38,178,180,5,0.03125
16,11,3,2,39,74,171,170,5,0.03125
16,12,0,3,34,37,97,94,4,0.025
16,13,1,3,35,37,138,141,6,0.0375
16,14,2,3,39,35,142,143,8,0.05
16,15,3,3,42,43,112,113,4,0.025
17,0,0,0,11,26,36,38,4,0.025
17,1,1,0,8,18,38,39,8,0.05
17,2,2,0,1,28,50,49,7,0.04375
17,3,3,0,20,20,43,44,7,0.04375
17,4,0,1,13,25,67,67,4,0.025
17,5,1,1,11,31,82,85,6,0.0375
17,6,2,1,22,24,103,101,6,0.0375
17,7,3,1,39,26,94,94,6,0.0375
17,8,0,2,24,12,86,85,2,0.0125
17,9,1,2,25,21,121,123,4,0.025
17,10,2,2,43,26,151,149,5,0.03125
17,11,3,2,46,49,133,133,6,0.0375
17,12,0,3,29,27,76,79,3,0.01875
17,13,1,3,32,20,110,108,8,0.05
17,14,2,3,50,31,130,135,3,0.01875
17,15,3,3,33,24,84,83,6,0.0375
18,0,0,0,8,31,49,47,4,0.025
18,1,1,0,7,26,55,55,7,0.04375
18,2,2,0,19,32,69,68,8,0.05
18,3,3,0,27,30,66,66,6,0.0375
18,4,0,1,18,29,91,90,4,0.025
18,5,1,1,23,23,119,120,4,0.025
