sample_idx,router_id,x,y,injected,ejected,received_total,sent_total,stored_total,buffer_occupancy_norm
0,0,0,0,6,8,14,14,0,0.0
0,1,1,0,11,4,22,20,1,0.00625
0,2,2,0,7,12,34,34,0,0.0
0,3,3,0,15,9,28,28,0,0.0
0,4,0,1,10,6,27,26,0,0.0
0,5,1,1,6,8,40,39,0,0.0
0,6,2,1,12,6,44,44,0,0.0
0,7,3,1,7,7,28,28,0,0.0
0,8,0,2,7,6,24,24,0,0.0
0,9,1,2,8,12,37,35,1,0.00625
0,10,2,2,14,11,42,42,0,0.0
0,11,3,2,4,3,24,23,0,0.0
0,12,0,3,8,5,20,20,0,0.0
0,13,1,3,16,4,30,28,1,0.00625
0,14,2,3,7,10,29,29,0,0.0
0,15,3,3,8,6,21,21,0,0.0
1,0,0,0,7,9,24,23,0,0.0
1,1,1,0,11,12,35,37,0,0.0
1,2,2,0,12,12,38,36,2,0.0125
1,3,3,0,11,10,24,24,0,0.0
1,4,0,1,8,9,33,33,0,0.0
1,5,1,1,6,9,31,30,0,0.0
1,6,2,1,9,9,39,39,0,0.0
1,7,3,1,9,15,32,32,0,0.0
1,8,0,2,3,10,31,31,0,0.0
1,9,1,2,10,7,32,34,0,0.0
1,10,2,2,10,6,36,35,0,0.0
1,11,3,2,9,4,22,23,0,0.0
1,12,0,3,6,12,20,20,0,0.0
1,13,1,3,12,4,25,27,0,0.0
1,14,2,3,5,7,29,27,1,0.00625
1,15,3,3,8,10,21,20,0,0.0
2,0,0,0,7,12,21,22,0,0.0
2,1,1,0,7,9,26,24,0,0.0
2,2,2,0,7,8,20,22,0,0.0
2,3,3,0,8,8,18,17,1,0.00625
2,4,0,1,11,11,37,37,0,0.0
2,5,1,1,12,10,40,41,1,0.00625
2,6,2,1,7,6,38,37,0,0.0
2,7,3,1,12,6,34,33,0,0.0
2,8,0,2,3,12,33,33,0,0.0
2,9,1,2,7,4,33,32,1,0.00625
2,10,2,2,9,8,34,35,0,0.0
2,11,3,2,9,5,28,28,0,0.0
2,12,0,3,13,8,27,27,0,0.0
2,13,1,3,7,8,28,28,0,0.0
2,14,2,3,10,5,28,29,0,0.0
2,15,3,3,5,11,21,22,0,0.0
3,0,0,0,12,12,35,33,1,0.00625
3,1,1,0,16,13,46,48,0,0.0
3,2,2,0,9,11,39,39,0,0.0
3,3,3,0,5,8,25,26,0,0.0
3,4,0,1,13,14,48,47,1,0.00625
3,5,1,1,12,10,54,53,1,0.00625
3,6,2,1,8,7,38,37,2,0.0125
3,7,3,1,8,9,34,34,1,0.00625
3,8,0,2,6,5,32,32,0,0.0
3,9,1,2,10,10,47,46,1,0.00625
3,10,2,2,9,7,40,39,0,0.0
3,11,3,2,12,14,38,37,0,0.0
3,12,0,3,9,10,24,24,0,0.0
3,13,1,3,13,13,41,41,0,0.0
3,14,2,3,13,7,35,36,0,0.0
3,15,3,3,6,7,24,22,1,0.00625
