sample_idx,router_id,x,y,injected,ejected,received_total,sent_total,stored_total,buffer_occupancy_norm
0,0,0,0,32,32,82,78,4,0.025
0,1,1,0,35,28,109,100,9,0.05625
0,2,2,0,43,27,117,109,7,0.04375
0,3,3,0,46,34,93,86,6,0.0375
0,4,0,1,33,35,125,118,5,0.03125
0,5,1,1,41,28,150,145,4,0.025
0,6,2,1,42,30,151,146,5,0.03125
0,7,3,1,35,21,116,106,9,0.05625
0,8,0,2,44,29,119,115,1,0.00625
0,9,1,2,38,23,147,134,10,0.0625
0,10,2,2,44,34,152,141,9,0.05625
0,11,3,2,48,43,141,136,3,0.01875
0,12,0,3,32,28,76,71,4,0.025
0,13,1,3,38,26,115,110,4,0.025
0,14,2,3,41,24,119,114,4,0.025
0,15,3,3,46,36,108,103,4,0.025
1,0,0,0,15,22,46,46,4,0.025
1,1,1,0,14,38,78,77,8,0.05
1,2,2,0,21,27,68,70,4,0.025
1,3,3,0,21,30,61,61,6,0.0375
1,4,0,1,23,29,87,88,5,0.03125
1,5,1,1,31,26,136,133,8,0.05
1,6,2,1,27,36,130,127,7,0.04375
1,7,3,1,41,28,107,108,6,0.0375
1,8,0,2,30,32,105,104,5,0.03125
1,9,1,2,33,29,142,144,10,0.0625
1,10,2,2,39,21,142,143,9,0.05625
1,11,3,2,34,50,130,125,8,0.05
1,12,0,3,26,31,78,78,3,0.01875
1,13,1,3,34,25,117,115,5,0.03125
1,14,2,3,40,21,113,110,6,0.0375
1,15,3,3,33,28,78,81,1,0.00625
2,0,0,0,16,29,55,54,5,0.03125
2,1,1,0,13,32,87,88,8,0.05
2,2,2,0,24,26,87,87,5,0.03125
2,3,3,0,42,32,81,82,5,0.03125
2,4,0,1,10,15,61,62,5,0.03125
2,5,1,1,10,23,91,89,9,0.05625
2,6,2,1,29,24,99,98,7,0.04375
2,7,3,1,28,24,102,103,7,0.04375
2,8,0,2,21,39,96,96,4,0.025
2,9,1,2,39,23,135,136,8,0.05
2,10,2,2,42,24,135,139,4,0.025
2,11,3,2,34,46,128,134,4,0.025
2,12,0,3,27,22,70,70,4,0.025
2,13,1,3,37,25,116,117,5,0.03125
2,14,2,3,36,22,111,115,3,0.01875
2,15,3,3,30,33,88,86,3,0.01875
3,0,0,0,14,28,55,56,4,0.025
3,1,1,0,14,25,82,82,8,0.05
3,2,2,0,40,29,104,103,6,0.0375
3,3,3,0,34,27,73,72,6,0.0375
3,4,0,1,13,19,74,73,5,0.03125
3,5,1,1,18,32,120,123,6,0.0375
3,6,2,1,41,38,154,153,8,0.05
3,7,3,1,44,30,119,119,7,0.04375
3,8,0,2,15,29,88,88,4,0.025
3,9,1,2,24,26,127,126,10,0.0625
3,10,2,2,35,32,144,140,9,0.05625
3,11,3,2,44,49,130,128,5,0.03125
3,12,0,3,31,34,82,83,3,0.01875
3,13,1,3,37,31,123,122,6,0.0375
3,14,2,3,36,22,109,105,5,0.03125
3,15,3,3,36,23,72,73,3,0.01875
4,0,0,0,13,38,60,60,4,0.025
4,1,1,0,12,25,71,72,6,0.0375
4,2,2,0,21,23,78,79,5,0.03125
4,3,3,0,33,22,64,65,6,0.0375
4,4,0,1,19,22,93,91,6,0.0375
4,5,1,1,21,22,112,110,9,0.05625
4,6,2,1,40,34,139,140,8,0.05
4,7,3,1,35,29,107,105,10,0.0625
4,8,0,2,14,29,93,93,4,0.025
4,9,1,2,20,28,110,113,7,0.04375
4,10,2,2,38,27,146,149,5,0.03125
4,11,3,2,55,50,137,131,11,0.06875
4,12,0,3,31,33,86,86,3,0.01875
4,13,1,3,28,26,115,115,6,0.0375
4,14,2,3,41,31,118,119,7,0.04375
4,15,3,3,33,19,68,65,6,0.0375
5,0,0,0,14,21,37,37,4,0.025
5,1,1,0,9,15,38,38,8,0.05
5,2,2,0,2,18,33,31,8,0.05
5,3,3,0,11,18,34,32,8,0.05
5,4,0,1,7,21,52,56,4,0.025
5,5,1,1,9,17,64,65,8,0.05
5,6,2,1,15,10,60,62,6,0.0375
5,7,3,1,30,17,74,74,10,0.0625
5,8,0,2,31,31,96,97,4,0.025
5,9,1,2,25,26,123,122,7,0.04375
5,10,2,2,39,21,118,115,7,0.04375
5,11,3,2,47,49,120,122,10,0.0625
