sample_idx,router_id,x,y,injected,ejected,received_total,sent_total,stored_total,buffer_occupancy_norm
0,0,0,0,45,38,100,96,4,0.025
0,1,1,0,48,33,135,128,6,0.0375
0,2,2,0,43,38,134,125,7,0.04375
0,3,3,0,39,34,93,87,5,0.03125
0,4,0,1,38,35,119,113,5,0.03125
0,5,1,1,39,32,160,152,7,0.04375
0,6,2,1,40,26,160,151,6,0.0375
0,7,3,1,35,35,121,113,6,0.0375
0,8,0,2,43,34,126,122,3,0.01875
0,9,1,2,46,30,167,155,11,0.06875
0,10,2,2,46,29,159,154,4,0.025
0,11,3,2,45,21,120,112,6,0.0375
0,12,0,3,37,32,86,79,6,0.0375
0,13,1,3,43,24,118,109,7,0.04375
0,14,2,3,43,27,126,117,7,0.04375
0,15,3,3,37,32,91,85,6,0.0375
1,0,0,0,38,27,82,82,4,0.025
1,1,1,0,39,35,124,122,7,0.04375
1,2,2,0,30,41,123,123,7,0.04375
1,3,3,0,34,28,79,77,6,0.0375
1,4,0,1,35,44,126,125,5,0.03125
1,5,1,1,41,39,166,163,9,0.05625
1,6,2,1,37,38,158,160,5,0.03125
1,7,3,1,32,34,115,116,7,0.04375
1,8,0,2,40,38,138,134,6,0.0375
1,9,1,2,46,37,173,176,7,0.04375
1,10,2,2,36,39,162,156,9,0.05625
1,11,3,2,37,40,126,126,7,0.04375
1,12,0,3,33,46,99,100,5,0.03125
1,13,1,3,46,39,134,137,4,0.025
1,14,2,3,39,31,114,120,2,0.0125
1,15,3,3,32,40,83,85,4,0.025
2,0,0,0,32,30,82,78,7,0.04375
2,1,1,0,34,36,121,121,8,0.05
2,2,2,0,29,30,112,116,5,0.03125
2,3,3,0,33,35,83,86,4,0.025
2,4,0,1,37,30,117,119,5,0.03125
2,5,1,1,41,35,159,162,5,0.03125
2,6,2,1,31,42,160,155,10,0.0625
2,7,3,1,34,38,123,123,6,0.0375
2,8,0,2,31,42,126,128,5,0.03125
2,9,1,2,40,34,159,158,9,0.05625
2,10,2,2,44,34,159,164,5,0.03125
2,11,3,2,36,46,130,132,4,0.025
2,12,0,3,39,37,98,99,5,0.03125
2,13,1,3,43,35,134,132,7,0.04375
2,14,2,3,31,34,116,111,6,0.0375
2,15,3,3,29,37,83,83,4,0.025
3,0,0,0,39,41,93,96,3,0.01875
3,1,1,0,41,36,125,126,5,0.03125
3,2,2,0,31,28,112,109,6,0.0375
3,3,3,0,34,34,85,85,5,0.03125
3,4,0,1,33,27,114,116,3,0.01875
3,5,1,1,32,29,139,135,11,0.06875
3,6,2,1,28,32,142,146,8,0.05
3,7,3,1,29,38,129,128,7,0.04375
3,8,0,2,31,39,116,118,4,0.025
3,9,1,2,33,32,146,150,5,0.03125
3,10,2,2,45,38,171,168,8,0.05
