sample_idx,router_id,x,y,injected,ejected,received_total,sent_total,stored_total,buffer_occupancy_norm
0,0,0,0,26,23,65,64,0,0.0
0,1,1,0,29,31,81,74,6,0.0375
0,2,2,0,14,15,43,35,8,0.05
0,3,3,0,18,8,26,22,4,0.025
0,4,0,1,37,22,77,73,2,0.0125
0,5,1,1,21,20,97,95,1,0.00625
0,6,2,1,27,21,87,80,5,0.03125
0,7,3,1,25,7,39,36,2,0.0125
0,8,0,2,24,7,39,35,3,0.01875
0,9,1,2,28,22,87,80,5,0.03125
0,10,2,2,23,22,90,89,1,0.00625
0,11,3,2,31,23,70,69,1,0.00625
0,12,0,3,19,8,27,23,4,0.025
0,13,1,3,14,15,44,36,8,0.05
0,14,2,3,30,24,75,69,6,0.0375
0,15,3,3,29,27,71,69,2,0.0125
1,0,0,0,20,23,66,66,1,0.00625
1,1,1,0,29,34,77,78,5,0.03125
1,2,2,0,8,14,30,29,8,0.05
1,3,3,0,7,7,14,14,4,0.025
1,4,0,1,33,28,76,78,1,0.00625
1,5,1,1,27,26,102,103,0,0.0
1,6,2,1,26,30,88,90,4,0.025
1,7,3,1,18,10,36,35,4,0.025
1,8,0,2,15,9,31,31,4,0.025
1,9,1,2,29,26,89,90,5,0.03125
1,10,2,2,26,25,109,109,1,0.00625
1,11,3,2,35,29,81,81,1,0.00625
1,12,0,3,5,7,12,12,4,0.025
1,13,1,3,10,18,34,33,9,0.05625
1,14,2,3,28,40,84,84,5,0.03125
1,15,3,3,30,31,75,74,1,0.00625
2,0,0,0,23,21,67,66,0,0.0
2,1,1,0,29,31,77,76,5,0.03125
2,2,2,0,7,16,32,33,8,0.05
2,3,3,0,9,11,20,20,4,0.025
2,4,0,1,32,29,76,77,0,0.0
2,5,1,1,25,25,103,102,1,0.00625
2,6,2,1,27,29,90,89,6,0.0375
2,7,3,1,19,6,38,37,4,0.025
2,8,0,2,16,6,32,32,4,0.025
2,9,1,2,29,26,88,89,5,0.03125
2,10,2,2,28,28,103,101,2,0.0125
2,11,3,2,31,25,75,74,0,0.0
2,12,0,3,11,9,20,20,4,0.025
2,13,1,3,8,18,38,38,9,0.05625
2,14,2,3,25,28,73,72,6,0.0375
2,15,3,3,21,21,66,66,1,0.00625
3,0,0,0,34,34,78,79,1,0.00625
3,1,1,0,29,31,74,77,4,0.025
3,2,2,0,9,15,29,29,7,0.04375
3,3,3,0,6,8,14,15,3,0.01875
3,4,0,1,33,30,78,76,2,0.0125
3,5,1,1,21,22,98,96,1,0.00625
3,6,2,1,26,30,88,88,5,0.03125
3,7,3,1,18,11,37,39,3,0.01875
3,8,0,2,14,9,29,28,3,0.01875
3,9,1,2,30,26,88,88,5,0.03125
3,10,2,2,28,27,103,102,2,0.0125
3,11,3,2,31,25,74,76,0,0.0
3,12,0,3,12,5,16,17,3,0.01875
3,13,1,3,8,20,39,39,8,0.05
3,14,2,3,25,31,76,74,7,0.04375
3,15,3,3,26,26,69,71,0,0.0
4,0,0,0,29,29,74,72,2,0.0125
4,1,1,0,30,33,78,76,5,0.03125
4,2,2,0,5,15,30,31,7,0.04375
