sample_idx,router_id,x,y,injected,ejected,received_total,sent_total,stored_total,buffer_occupancy_norm
0,0,0,0,32,26,73,70,3,0.01875
0,1,1,0,29,28,101,93,7,0.04375
0,2,2,0,40,30,113,105,8,0.05
0,3,3,0,42,31,84,79,5,0.03125
0,4,0,1,37,32,116,111,4,0.025
0,5,1,1,34,26,142,133,8,0.05
0,6,2,1,38,27,146,138,5,0.03125
0,7,3,1,33,17,100,94,4,0.025
0,8,0,2,38,27,112,107,5,0.03125
0,9,1,2,34,24,139,131,7,0.04375
0,10,2,2,38,32,145,138,5,0.03125
0,11,3,2,36,43,116,110,5,0.03125
0,12,0,3,42,29,86,81,5,0.03125
0,13,1,3,40,24,116,108,6,0.0375
0,14,2,3,46,24,124,117,6,0.0375
0,15,3,3,44,34,97,91,4,0.025
1,0,0,0,11,25,46,46,3,0.01875
1,1,1,0,6,34,76,73,9,0.05625
1,2,2,0,30,24,80,84,4,0.025
1,3,3,0,33,32,79,77,6,0.0375
1,4,0,1,23,31,94,93,5,0.03125
1,5,1,1,32,31,140,142,6,0.0375
1,6,2,1,43,39,138,142,2,0.0125
1,7,3,1,37,26,120,119,6,0.0375
1,8,0,2,43,32,117,116,4,0.025
1,9,1,2,34,28,148,146,8,0.05
1,10,2,2,34,24,140,138,8,0.05
1,11,3,2,38,50,136,135,6,0.0375
1,12,0,3,36,28,78,80,3,0.01875
1,13,1,3,26,25,101,104,3,0.01875
1,14,2,3,25,24,105,105,5,0.03125
1,15,3,3,36,31,86,86,5,0.03125
2,0,0,0,10,33,53,51,5,0.03125
2,1,1,0,19,41,91,92,8,0.05
2,2,2,0,38,32,104,99,9,0.05625
2,3,3,0,39,38,81,84,4,0.025
2,4,0,1,33,17,106,107,3,0.01875
2,5,1,1,39,25,144,143,6,0.0375
2,6,2,1,31,27,142,142,3,0.01875
2,7,3,1,39,37,125,124,5,0.03125
2,8,0,2,28,41,111,112,3,0.01875
2,9,1,2,27,26,127,130,6,0.0375
2,10,2,2,35,23,138,141,6,0.0375
2,11,3,2,35,49,139,134,10,0.0625
2,12,0,3,22,28,64,63,4,0.025
2,13,1,3,22,31,97,95,6,0.0375
2,14,2,3,38,23,105,106,5,0.03125
